Вьючное животное;Верблюд;Фрегат;2020-06-06 00:00:00;плыть по пустыне,есть кактусы
Вьючное животное;Осёл;Пончик;2021-01-15 00:00:00;
Домашнее животное;Собака;Хороший мальчик;2020-07-14 00:00:00;вилять хвостом, очень сильно вилять хвостом
Вьючное животное;Осёл;Слива;2022-04-1 00:00:00;долго нести груз
Домашнее животное;Кот;Обормот;2022-08-24 00:00:00;играть с клубком,драть мебель
Вьючное животное;Осёл;Слива;2022-04-15 00:00:00;долго нести груз,бежать
Домашнее животное;Хомяк;Хома;2024-04-11 00:00:00;кружиться,спать,замирать,бегать в колесе,кусаться,шуметь в клетке
Вьючное животное;Лошадь;Торнадо;2020-05-08 00:00:00;
Домашнее животное;Кот;Барсик;2023-08-08 00:00:00;играть с клубком
Домашнее животное;Хомяк;Рокки;2023-09-01 00:00:00;охранять,принести тапочки
