
Домашнее животное;Кот;Барсик;2022-05-01 00:00:00;играть с клубком,скидывать предметы
Домашнее животное;Кот;Зевс;2021-03-08 00:00:00;охотиться на мышей
Вьючное животное;Верблюд;Фрегат;2015-09-21 00:00:00;плыть по пустыне,долго нести груз
Вьючное животное;Лошадь;Торнадо;2020-12-05 00:00:00;мчаться как ураган
Вьючное животное;Лошадь;Буцефал;2018-11-05 00:00:00;пахать землю,долго нести груз
Домашнее животное;Собака;Зевс;2019-07-01 00:00:00;охранять,голос
Домашнее животное;Собака;Мухтар;2020-02-28 00:00:00;охранять,голос,дать лапу
Домашнее животное;Собака;Рокки;2024-06-28 00:00:00;
Домашнее животное;Хомяк;Хома;2024-05-30 00:00:00;прятать орехи,бегать в колесе
Домашнее животное;Хомяк;Пушистик;2024-03-25 00:00:00;
Вьючное животное;Осёл;Георг 5-й;2022-08-10 00:00:00;упрямиться
